initial_symbols	gene_symbols_(primaries)	ensembl_ids	description
atf4b2	atf4b	ENSDARG00000114163 ENSDARG00000114542 ENSDARG00000038141	activating transcription factor 4b [Source:ZFIN;Acc:ZDB-GENE-070928-23]
ube2d3	ube2d3	ENSDARG00000038473	ubiquitin-conjugating enzyme E2D 3 [Source:ZFIN;Acc:ZDB-GENE-030131-551]
tmx4	tmx4	ENSDARG00000101512	thioredoxin-related transmembrane protein 4 [Source:ZFIN;Acc:ZDB-GENE-050706-155]
dnm1l	dnm1l	ENSDARG00000015006	dynamin 1-like [Source:NCBI gene;Acc:393896]
derl1	derl1	ENSDARG00000021905	derlin 1 [Source:ZFIN;Acc:ZDB-GENE-040426-2793]
pdia3	pdia3	ENSDARG00000102640	protein disulfide isomerase family A, member 3 [Source:ZFIN;Acc:ZDB-GENE-031002-9]
hdac8	hdac8	ENSDARG00000003021 ENSDARG00000105159	phosphorylase kinase, alpha 1a (muscle) [Source:NCBI gene;Acc:572183]
tmx3	tmx3a	ENSDARG00000038894	thioredoxin related transmembrane protein 3a [Source:ZFIN;Acc:ZDB-GENE-050522-396]
hsp90ab1	hsp90ab1	ENSDARG00000029150	heat shock protein 90, alpha (cytosolic), class A member 1, tandem duplicate 2 [Source:ZFIN;Acc:ZDB-GENE-031001-3]
psmd5	psmd5	ENSDARG00000059046	proteasome 26S subunit, non-ATPase 5 [Source:ZFIN;Acc:ZDB-GENE-050417-28]
hspa4b	hspa4b	ENSDARG00000112727 ENSDARG00000018989 ENSDARG00000116230	heat shock protein 4b [Source:ZFIN;Acc:ZDB-GENE-030131-6018]
psmd14	psmd14	ENSDARG00000063100	proteasome 26S subunit, non-ATPase 14 [Source:ZFIN;Acc:ZDB-GENE-070410-56]
tmx1	tmx1	ENSDARG00000019487	thioredoxin-related transmembrane protein 1 [Source:ZFIN;Acc:ZDB-GENE-030131-2327]
psmd3	psmd3	ENSDARG00000018124	proteasome 26S subunit, non-ATPase 3 [Source:ZFIN;Acc:ZDB-GENE-040426-1444]
dnaja3a	dnaja3a	ENSDARG00000058494 ENSDARG00000111151	DnaJ heat shock protein family (Hsp40) member A3a [Source:ZFIN;Acc:ZDB-GENE-030131-7837]
fkbp5	fkbp5	ENSDARG00000028396	FKBP prolyl isomerase 5 [Source:ZFIN;Acc:ZDB-GENE-030616-630]
gabarapl2	gabarapl2	ENSDARG00000027200	GABA(A) receptor-associated protein like 2 [Source:ZFIN;Acc:ZDB-GENE-040718-336]
dram1	dram1	ENSDARG00000045561	DNA-damage regulated autophagy modulator 1 [Source:ZFIN;Acc:ZDB-GENE-041010-147]
psma6a	psma6a	ENSDARG00000019398	proteasome 20S subunit alpha 6a [Source:ZFIN;Acc:ZDB-GENE-020326-1]
wfs1b	wfs1b	ENSDARG00000074617	Wolfram syndrome 1b (wolframin) [Source:ZFIN;Acc:ZDB-GENE-050809-19]
vdac2	vdac2	ENSDARG00000013623	voltage-dependent anion channel 2 [Source:ZFIN;Acc:ZDB-GENE-030131-845]
dnajc19	dnajc19	ENSDARG00000044420	DnaJ (Hsp40) homolog, subfamily C, member 19 [Source:NCBI gene;Acc:393734]
atf6	atf6	ENSDARG00000012656	activating transcription factor 6 [Source:ZFIN;Acc:ZDB-GENE-041014-328]
ptpn1	ptpn1	ENSDARG00000007923	protein tyrosine phosphatase non-receptor type 1 [Source:ZFIN;Acc:ZDB-GENE-980605-23]
ppp1r15a	ppp1r15a	ENSDARG00000069135	protein phosphatase 1, regulatory subunit 15A [Source:ZFIN;Acc:ZDB-GENE-030131-4408]
psmd6	psmd6	ENSDARG00000070674	proteasome 26S subunit, non-ATPase 6 [Source:ZFIN;Acc:ZDB-GENE-040426-1038]
derl2	derl2	ENSDARG00000042401	derlin 2 [Source:ZFIN;Acc:ZDB-GENE-050522-90]
rtcb	rtcb	ENSDARG00000101047	RNA 2',3'-cyclic phosphate and 5'-OH ligase [Source:NCBI gene;Acc:406376]
ddah1	ddah1	ENSDARG00000103042	dimethylarginine dimethylaminohydrolase 1 [Source:NCBI gene;Acc:406561]
PSMD2	PSMD2	ENSDARG00000099653	proteasome 26S subunit, non-ATPase 2 [Source:HGNC Symbol;Acc:HGNC:9559]
edem1	edem1	ENSDARG00000025094	ER degradation enhancer, mannosidase alpha-like 1 [Source:ZFIN;Acc:ZDB-GENE-040426-808]
vdac3	vdac3	ENSDARG00000003695	voltage-dependent anion channel 3 [Source:ZFIN;Acc:ZDB-GENE-040426-2380]
psma6b	psma6b	ENSDARG00000013966	proteasome 20S subunit alpha 6b [Source:ZFIN;Acc:ZDB-GENE-040718-329]
atg9a	atg9a	ENSDARG00000044551	ATG9 autophagy related 9 homolog A (S. cerevisiae) [Source:ZFIN;Acc:ZDB-GENE-070209-65]
dnajc10	dnajc10	ENSDARG00000074727	DnaJ (Hsp40) homolog, subfamily C, member 10 [Source:ZFIN;Acc:ZDB-GENE-070327-1]
dnajc15	dnajc15	ENSDARG00000038309	DnaJ (Hsp40) homolog, subfamily C, member 15 [Source:ZFIN;Acc:ZDB-GENE-040801-216]
dnlz	dnlz	ENSDARG00000068655	DNL-type zinc finger [Source:NCBI gene;Acc:791166]
psmd11a	psmd11a	ENSDARG00000060150	proteasome 26S subunit, non-ATPase 11a [Source:NCBI gene;Acc:503934]
yme1l1b	yme1l1b	ENSDARG00000104401	YME1-like 1b [Source:ZFIN;Acc:ZDB-GENE-070410-25]
eif2s1a	eif2s1a	ENSDARG00000005827	eukaryotic translation initiation factor 2, subunit 1 alpha a [Source:ZFIN;Acc:ZDB-GENE-030131-526]
hspa9	hspa9	ENSDARG00000003035 ENSDARG00000114629	heat shock protein 9 [Source:ZFIN;Acc:ZDB-GENE-030828-12]
snx30	snx30	ENSDARG00000069601	sorting nexin family member 30 [Source:NCBI gene;Acc:550496]
erp44	erp44	ENSDARG00000019008	endoplasmic reticulum protein 44 [Source:ZFIN;Acc:ZDB-GENE-040426-1902]
tmx2b	tmx2b	ENSDARG00000007786	thioredoxin-related transmembrane protein 2b [Source:NCBI gene;Acc:415203]
dnajc3	dnajc3a	ENSDARG00000114114 ENSDARG00000041110	DnaJ (Hsp40) homolog, subfamily C, member 3a [Source:ZFIN;Acc:ZDB-GENE-030131-1264]
lonp1	lonp1	ENSDARG00000102765	lon peptidase 1, mitochondrial [Source:ZFIN;Acc:ZDB-GENE-030131-4006]
psma4	psma4	ENSDARG00000045928	proteasome 20S subunit alpha 4 [Source:ZFIN;Acc:ZDB-GENE-040426-1932]
ube3a	ube3a	ENSDARG00000055737	ubiquitin protein ligase E3A [Source:ZFIN;Acc:ZDB-GENE-041114-190]
psma6l	psma6l	ENSDARG00000043899	proteasome 20S subunit alpha 6, like [Source:ZFIN;Acc:ZDB-GENE-010502-2]
psme2	psme2	ENSDARG00000033144	proteasome activator subunit 2 [Source:ZFIN;Acc:ZDB-GENE-991110-16]
hdac6	hdac6	ENSDARG00000008384	histone deacetylase 6 [Source:ZFIN;Acc:ZDB-GENE-030131-3232]
herpud1	herpud1	ENSDARG00000024314	homocysteine-inducible, endoplasmic reticulum stress-inducible, ubiquitin-like domain member 1 [Source:ZFIN;Acc:ZDB-GENE-050913-47]
ern1	ern1	ENSDARG00000013997	endoplasmic reticulum to nucleus signaling 1 [Source:ZFIN;Acc:ZDB-GENE-050522-431]
snx4	snx4	ENSDARG00000022659	sorting nexin 4 [Source:ZFIN;Acc:ZDB-GENE-030131-1923]
tmx2a	tmx2a	ENSDARG00000109756 ENSDARG00000079122	thioredoxin-related transmembrane protein 2a [Source:NCBI gene;Acc:561718]
atg101	atg101	ENSDARG00000043287	autophagy related 101 [Source:NCBI gene;Acc:567680]
stt3b	stt3b	ENSDARG00000001890	STT3 oligosaccharyltransferase complex catalytic subunit B [Source:ZFIN;Acc:ZDB-GENE-030131-2638]
psmc3	psmc3	ENSDARG00000007141	proteasome 26S subunit, ATPase 3 [Source:ZFIN;Acc:ZDB-GENE-030131-666]
hspa14	hspa14	ENSDARG00000114313 ENSDARG00000058030 ENSDARG00000112257	heat shock protein 14 [Source:NCBI gene;Acc:565232]
eif2ak2	eif2ak2	ENSDARG00000068729	eukaryotic translation initiation factor 2-alpha kinase 2 [Source:ZFIN;Acc:ZDB-GENE-080422-1]
hsp70.2	hsp70.2	ENSDARG00000092362	heat shock cognate 70-kd protein, tandem duplicate 2 [Source:ZFIN;Acc:ZDB-GENE-110405-1]
atg4a	atg4a	ENSDARG00000014531	autophagy related 4A, cysteine peptidase [Source:ZFIN;Acc:ZDB-GENE-050522-430]
hdac5	hdac5	ENSDARG00000075139	histone deacetylase 5 [Source:ZFIN;Acc:ZDB-GENE-121219-3]
dnajc3a	dnajc3a	ENSDARG00000114114 ENSDARG00000041110	DnaJ (Hsp40) homolog, subfamily C, member 3a [Source:ZFIN;Acc:ZDB-GENE-030131-1264]
psme1	psme1	ENSDARG00000002165 ENSDARG00000115834	proteasome activator subunit 1 [Source:ZFIN;Acc:ZDB-GENE-991110-17]
yme1l1a	yme1l1a	ENSDARG00000075192	YME1-like 1a [Source:ZFIN;Acc:ZDB-GENE-091113-41]
ern2	ern2	ENSDARG00000058475	endoplasmic reticulum to nucleus signaling 2 [Source:ZFIN;Acc:ZDB-GENE-090312-15]
cdc37	cdc37	ENSDARG00000099301	cell division cycle 37 homolog (S. cerevisiae) [Source:ZFIN;Acc:ZDB-GENE-040426-940]
fkbp6	fkbp6	ENSDARG00000030133 ENSDARG00000099077	FKBP prolyl isomerase 6 [Source:ZFIN;Acc:ZDB-GENE-050302-4]
psmd9	psmd9	ENSDARG00000006300	proteasome 26S subunit, non-ATPase 9 [Source:ZFIN;Acc:ZDB-GENE-030131-431]
psmd11b	psmd11b	ENSDARG00000005134	proteasome 26S subunit, non-ATPase 11b [Source:NCBI gene;Acc:322265]
cct2	cct2	ENSDARG00000087206 ENSDARG00000104674	chaperonin containing TCP1, subunit 2 (beta) [Source:ZFIN;Acc:ZDB-GENE-020419-6]
txndc5	txndc5	ENSDARG00000009342	thioredoxin domain containing 5 [Source:ZFIN;Acc:ZDB-GENE-040426-1951]
ero1l	ero1a	ENSDARG00000015228	endoplasmic reticulum oxidoreductase alpha [Source:NCBI gene;Acc:393321]
cul1a	cul1a	ENSDARG00000019239 ENSDARG00000114068 ENSDARG00000113068	cullin 1a [Source:ZFIN;Acc:ZDB-GENE-030131-2603]
bag5	bag5	ENSDARG00000017316	BCL2 associated athanogene 5 [Source:ZFIN;Acc:ZDB-GENE-050913-58]
si:dkey-24p1.6	si:dkey-24p1.6	ENSDARG00000097212 ENSDARG00000028784	si:dkey-24p1.6 [Source:ZFIN;Acc:ZDB-GENE-060503-67]
dnajb1b	dnajb1b	ENSDARG00000041394	DnaJ heat shock protein family (Hsp40) member B1b [Source:ZFIN;Acc:ZDB-GENE-030131-5455]
map1lc3b	map1lc3b	ENSDARG00000101127	microtubule-associated protein 1 light chain 3 beta [Source:ZFIN;Acc:ZDB-GENE-030131-1145]
psmd4a	psmd4a	ENSDARG00000101295	proteasome 26S subunit, non-ATPase 4a [Source:ZFIN;Acc:ZDB-GENE-040625-104]
atg4da	atg4da	ENSDARG00000043548	autophagy related 4D, cysteine peptidase a [Source:ZFIN;Acc:ZDB-GENE-041111-102]
hsf1	hsf1	ENSDARG00000008818	heat shock transcription factor 1 [Source:ZFIN;Acc:ZDB-GENE-000616-16]
agr2	agr2	ENSDARG00000070480	anterior gradient 2 [Source:NCBI gene;Acc:335616]
atg13	atg13	ENSDARG00000036040	ATG13 autophagy related 13 homolog (S. cerevisiae) [Source:NCBI gene;Acc:393405]
psma5	psma5	ENSDARG00000003526 ENSDARG00000116794	proteasome 20S subunit alpha 5 [Source:ZFIN;Acc:ZDB-GENE-040625-96]
man1b1	man1b1b	ENSDARG00000112570 ENSDARG00000114459 ENSDARG00000076592	mannosidase, alpha, class 1B, member 1b [Source:ZFIN;Acc:ZDB-GENE-070705-482]
map1lc3c	map1lc3c	ENSDARG00000100528	microtubule-associated protein 1 light chain 3 gamma [Source:ZFIN;Acc:ZDB-GENE-040426-1080]
psmd10	psmd10	ENSDARG00000109675 ENSDARG00000015628	proteasome 26S subunit, non-ATPase 10 [Source:ZFIN;Acc:ZDB-GENE-050112-1]
cct3	cct3	ENSDARG00000016173	chaperonin containing TCP1, subunit 3 (gamma) [Source:ZFIN;Acc:ZDB-GENE-020419-5]
eif2ak1	eif2ak1	ENSDARG00000093182 ENSDARG00000112267	eukaryotic translation initiation factor 2-alpha kinase 1 [Source:ZFIN;Acc:ZDB-GENE-061013-268]
herpud2	herpud2	ENSDARG00000021033	HERPUD family member 2 [Source:NCBI gene;Acc:393157]
hsp90aa1.2	hsp90aa1.2	ENSDARG00000024746	heat shock protein 90, alpha (cytosolic), class A member 1, tandem duplicate 2 [Source:ZFIN;Acc:ZDB-GENE-031001-3]
hsp70.3	hsp70.3	ENSDARG00000021924	heat shock cognate 70-kd protein, tandem duplicate 3 [Source:ZFIN;Acc:ZDB-GENE-110713-1]
txndc12	txndc12	ENSDARG00000038980	thioredoxin domain containing 12 (endoplasmic reticulum) [Source:ZFIN;Acc:ZDB-GENE-050522-497]
psmb11b	psmb11b	ENSDARG00000068086	proteasome 20S subunit beta 11b [Source:ZFIN;Acc:ZDB-GENE-170530-2]
psmb1	psmb1	ENSDARG00000009640	proteasome 20S subunit beta 1 [Source:ZFIN;Acc:ZDB-GENE-040618-2]
hdac10	hdac10	ENSDARG00000086458	histone deacetylase 10 [Source:NCBI gene;Acc:327253]
psma2	psma2	ENSDARG00000040121	proteasome 20S subunit alpha 2 [Source:ZFIN;Acc:ZDB-GENE-050522-479]
vhl	vhl	ENSDARG00000070617	von Hippel-Lindau tumor suppressor [Source:ZFIN;Acc:ZDB-GENE-070112-1042]
hsc70	hsc70	ENSDARG00000012381	heat shock cognate 70 [Source:ZFIN;Acc:ZDB-GENE-040426-1221]
psmg1	psmg1	ENSDARG00000040620	proteasome (prosome, macropain) assembly chaperone 1 [Source:NCBI gene;Acc:436987]
ube2d2l	ube2d2l	ENSDARG00000099749	ubiquitin-conjugating enzyme E2D 2 (UBC4/5 homolog, yeast), like [Source:ZFIN;Acc:ZDB-GENE-030131-7384]
psma1	psma1	ENSDARG00000101560	proteasome 20S subunit alpha 1 [Source:ZFIN;Acc:ZDB-GENE-040801-15]
vcp	vcp	ENSDARG00000020008 ENSDARG00000116074	valosin containing protein [Source:NCBI gene;Acc:327197]
psma3	psma3	ENSDARG00000086618	proteasome 20S subunit alpha 3 [Source:ZFIN;Acc:ZDB-GENE-050913-120]
psmb5	psmb5	ENSDARG00000111880 ENSDARG00000075445	proteasome 20S subunit beta 5 [Source:ZFIN;Acc:ZDB-GENE-990415-215]
hsp90b1	hsp90b1	ENSDARG00000003570 ENSDARG00000114206	heat shock protein 90, beta (grp94), member 1 [Source:ZFIN;Acc:ZDB-GENE-031002-1]
erlec1	erlec1	ENSDARG00000086309	endoplasmic reticulum lectin 1 [Source:ZFIN;Acc:ZDB-GENE-030521-15]
lonp2	lonp2	ENSDARG00000101438	lon peptidase 2, peroxisomal [Source:NCBI gene;Acc:494030]
hsph1	hsph1	ENSDARG00000019874	heat shock 105/110 protein 1 [Source:ZFIN;Acc:ZDB-GENE-120410-4]
psmd7	psmd7	ENSDARG00000102417	proteasome 26S subunit, non-ATPase 7 [Source:ZFIN;Acc:ZDB-GENE-030131-5541]
pomp	pomp	ENSDARG00000032296	proteasome maturation protein [Source:ZFIN;Acc:ZDB-GENE-040801-10]
hsf2	hsf2	ENSDARG00000053097	heat shock transcription factor 2 [Source:ZFIN;Acc:ZDB-GENE-011128-1]
ero1lb	ero1b	ENSDARG00000103915	endoplasmic reticulum oxidoreductase beta [Source:ZFIN;Acc:ZDB-GENE-060929-744]
ucp1	ucp1	ENSDARG00000023151	uncoupling protein 1 [Source:ZFIN;Acc:ZDB-GENE-010503-1]
MFN1	MFN1	ENSDARG00000011884	mitofusin 1a [Source:NCBI gene;Acc:100329462]
becn1	becn1	ENSDARG00000079128	beclin 1, autophagy related [Source:NCBI gene;Acc:393846]
atg16l1	atg16l1	ENSDARG00000099430	ATG16 autophagy related 16-like 1 (S. cerevisiae) [Source:ZFIN;Acc:ZDB-GENE-050417-401]
vdac1	vdac1	ENSDARG00000045132	voltage-dependent anion channel 1 [Source:ZFIN;Acc:ZDB-GENE-030131-6514]
bag2	bag2	ENSDARG00000035005	BCL2 associated athanogene 2 [Source:ZFIN;Acc:ZDB-GENE-040426-1399]
sel1l	sel1l	ENSDARG00000004581	SEL1L adaptor subunit of ERAD E3 ubiquitin ligase [Source:ZFIN;Acc:ZDB-GENE-041001-122]
map1lc3a	map1lc3a	ENSDARG00000033609	microtubule-associated protein 1 light chain 3 alpha [Source:ZFIN;Acc:ZDB-GENE-040426-2232]
psme4a	psme4a	ENSDARG00000087911	proteasome activator subunit 4a [Source:NCBI gene;Acc:793897]
dram2b	dram2b	ENSDARG00000044241	DNA-damage regulated autophagy modulator 2b [Source:ZFIN;Acc:ZDB-GENE-040625-141]
hdac11	hdac11	ENSDARG00000087573	histone deacetylase 11 [Source:ZFIN;Acc:ZDB-GENE-040704-7]
hspa8	hspa8	ENSDARG00000068992 ENSDARG00000114726	heat shock protein 8 [Source:NCBI gene;Acc:573376]
pdia4	pdia4	ENSDARG00000018491	protein disulfide isomerase family A, member 4 [Source:ZFIN;Acc:ZDB-GENE-030131-5493]
atg4b	atg4b	ENSDARG00000052104	autophagy related 4B, cysteine peptidase [Source:NCBI gene;Acc:448859]
fkbp8	fkbp8	ENSDARG00000001734	FKBP prolyl isomerase 8 [Source:ZFIN;Acc:ZDB-GENE-040426-1849]
hspd1	hspd1	ENSDARG00000056160	heat shock 60 protein 1 [Source:ZFIN;Acc:ZDB-GENE-021206-1]
adrm1	adrm1	ENSDARG00000058560 ENSDARG00000113912	adhesion regulating molecule 1 [Source:NCBI gene;Acc:796450]
nploc4	nploc4	ENSDARG00000100487	NPL4 homolog, ubiquitin recognition factor [Source:ZFIN;Acc:ZDB-GENE-030131-5658]
psmd2	psmd2	ENSDARG00000103190	proteasome 26S subunit, non-ATPase 2 [Source:NCBI gene;Acc:393518]
calr	calr	ENSDARG00000076290	calreticulin [Source:ZFIN;Acc:ZDB-GENE-030131-4042]
hsp70	hsp70.3	ENSDARG00000021924	heat shock cognate 70-kd protein, tandem duplicate 3 [Source:ZFIN;Acc:ZDB-GENE-110713-1]
nfs1	nfs1	ENSDARG00000062237	NFS1 cysteine desulfurase [Source:ZFIN;Acc:ZDB-GENE-060405-1]
dnajc7	dnajc7	ENSDARG00000058148	DnaJ (Hsp40) homolog, subfamily C, member 7 [Source:ZFIN;Acc:ZDB-GENE-040426-2483]
tmem258	tmem258	ENSDARG00000078785	transmembrane protein 258 [Source:NCBI gene;Acc:393742]
hsf4	hsf4	ENSDARG00000013251	heat shock transcription factor 4 [Source:ZFIN;Acc:ZDB-GENE-050306-18]
edem3	edem3	ENSDARG00000074129	ER degradation enhancer, mannosidase alpha-like 3 [Source:ZFIN;Acc:ZDB-GENE-070801-5]
derl3	derl3	ENSDARG00000114961 ENSDARG00000033871	derlin 3 [Source:ZFIN;Acc:ZDB-GENE-040426-1324]
canx	canx	ENSDARG00000037488	calnexin [Source:ZFIN;Acc:ZDB-GENE-040426-2797]
hspb3	hspb3	ENSDARG00000116486 ENSDARG00000067714	heat shock protein, alpha-crystallin-related, b3 [Source:ZFIN;Acc:ZDB-GENE-070705-338]
tcp1	tcp1	ENSDARG00000017891	t-complex 1 [Source:ZFIN;Acc:ZDB-GENE-990714-24]
usp14	usp14	ENSDARG00000025889	ubiquitin specific peptidase 14 (tRNA-guanine transglycosylase) [Source:ZFIN;Acc:ZDB-GENE-030131-7676]
